Running problem size 30^3 per domain until completion
Num processors: 1
Num threads: 64
Total number of elements: 27000

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

Copying data to device...done.
cycle = 1, time = 3.876087e-06, dt=3.876087e-06
cycle = 2, time = 8.527392e-06, dt=4.651305e-06
cycle = 3, time = 1.410896e-05, dt=5.581566e-06
cycle = 4, time = 2.080684e-05, dt=6.697879e-06
cycle = 5, time = 2.884429e-05, dt=8.037455e-06
cycle = 6, time = 3.848924e-05, dt=9.644946e-06
cycle = 7, time = 5.006317e-05, dt=1.157394e-05
cycle = 8, time = 6.395190e-05, dt=1.388872e-05
cycle = 9, time = 8.061836e-05, dt=1.666647e-05
cycle = 10, time = 1.006181e-04, dt=1.999976e-05
cycle = 11, time = 1.246178e-04, dt=2.399971e-05
cycle = 12, time = 1.534175e-04, dt=2.879965e-05
cycle = 13, time = 1.879771e-04, dt=3.455958e-05
cycle = 14, time = 2.294486e-04, dt=4.147150e-05
cycle = 15, time = 2.792144e-04, dt=4.976580e-05
cycle = 16, time = 3.389333e-04, dt=5.971896e-05
